Date	Day	Work Level	Theme	Checklist Item	Acceptance Goal	Difficulty	Risk/Notes	Status	Owner
Oct-30	Thu	Work	Progress Updates	Update goal invested_amount after swap; recompute progress	Progress reflects latest swap	Low	Wrap updates in transaction		Blessan
Oct-30	Thu	Work	Error Handling	Consistent error schema; retry guidance; slippage config	Errors clear; retries safe	Medium	Map provider errors cleanly		Blessan
Oct-31	Fri	Work	Checkout/UI (Devnet)	"Simulate Buy" button: call /api/onramp/simulate → /api/swap/execute; show explorer links	UI confirms transfer+swap and refreshes history/progress	Medium	Block on auth/2FA; show non-blocking success banner		Blessan
Nov-01	Sat	Work	Security + Docs + User	Server-wide input validation; error schema; logging	Validation/logging in place	Medium	Central error handler; Zod/Valibot (JS)		Blessan
Nov-01	Sat	Work	Security + Docs + User	Indexes, query limits, n+1 checks	Perf guardrails set	Low	Add DB indexes; limit list endpoints		Blessan
Nov-01	Sat	Work	Security + Docs + User	GET /api/user (profile), PATCH /api/user (notification prefs)	User APIs working	Low	Protect PII; return minimal fields		Blessan
Nov-01	Sat	Work	Docs	Readme: devnet simulation steps; envs; Jupiter + Privy setup	Docs available	Low	Note OnMeta prod planned later; no KYC in app		Blessan
Nov-01	Sat	Reflection	Reflection 2	Backend feature-complete (incl. devnet sim) review	Notes recorded	Low	List remaining risks		Blessan
Nov-02	Sun	Light	Seeds + Smoke	Seed: 1 user + 1 active goal	Seed runs	Low	Deterministic seed IDs		Blessan
Nov-02	Sun	Light	Seeds + Smoke	Simulate: transfer → swap → DB updates (devnet)	E2E passes (devnet sim)	Medium	Test idempotency via batch_id		Blessan
Nov-02	Sun	Light	Seeds + Smoke	Verify idempotent simulate/swap flow	Idempotency confirmed	Medium	Use unique keys + upserts		Blessan
Nov-03	Mon	Work	Minimal Frontend Wiring	Auth flow: login → 2FA forms → dashboard shell	Auth UI flows	Low	Keep state management simple		Blessan
Nov-03	Mon	Work	Minimal Frontend Wiring	Goal wizard (plain forms) → POST /api/goals	Goal creation via UI	Low	Validate errors inline		Blessan
Nov-03	Mon	Work	Minimal Frontend Wiring	Dashboard fetch: goals + progress + history	Dashboard shows data	Low	Handle empty states		Blessan
Nov-03	Mon	Buffer	Buffer/Debug	Stabilize UI/backend integration before feature wiring	Critical issues cleared	Low	Time reserved for wiring bugs		Blessan
Nov-04	Tue	Work	Actions UI + History + Settings	Simulate On-Ramp (Devnet), Pause/Resume buttons, banners	Actions wired	Medium	Guard actions behind states		Blessan
Nov-04	Tue	Work	Actions UI + History + Settings	History table → /api/history (latest 10, grouped by batch_id)	History visible	Low	Server-side sort/limit		Blessan
Nov-04	Tue	Work	Actions UI + History + Settings	Settings: profile + notification toggle	Settings editable	Low	Persist preferences cleanly		Blessan
Nov-05	Wed	No Work	Exams	Exams	Exams	Exams	Exams		Blessan
Nov-06	Thu	No Work	Exams	Exams	Exams	Exams	Exams		Blessan
Nov-07	Fri	Work	Test + Deploy + Fixes	Unit tests (validations/progress/swap quoting)	Tests passing	Medium	Focus on critical paths only		Blessan
Nov-07	Fri	Work	Test + Deploy + Fixes	E2E smoke: login → 2FA → goal → simulate buy (devnet) → swap → progress → pause	E2E green	High	Run on staging with devnet RPC		Blessan
Nov-07	Fri	Work	Test + Deploy + Fixes	CI on PR; staging deploy; fix critical bugs	Staging stable	Medium	Block merges on CI		Blessan
Nov-07	Fri	Work	Test + Deploy + Fixes	Basic responsiveness (forms/dashboard)	Usable on mobile	Low	Just enough CSS tweaks		Blessan
Nov-07	Fri	Reflection	Reflection 3	Ready for final pass; list polish items	Polish list ready	Low	Prioritize must-fix bugs		Blessan
Nov-08	Sat	No Work	Exams	Exams	Exams	Exams	Exams		Blessan
Nov-09	Sun	No Work	Exams	Exams	Exams	Exams	Exams		Blessan
Nov-10	Mon	Work	Finalize	Completion UI (simple celebrate); copy review	Completion state visible	Low	Keep scope small		Blessan
Nov-10	Mon	Work	Finalize	README quickstart; known limits; next-steps (OnMeta prod)	Docs final	Low	Call out manual on-ramp; KYC by OnMeta		Blessan
Nov-10	Mon	Work	Finalize	Final demo walkthrough + screenshots	Delivery accepted	Low	Record short Loom		Blessan
Nov-10	Mon	Reflection	Reflection 4	Final review + lessons	Notes recorded	Low	What went well/next time		Blessan
